review_id,product_id,brand,rating,review_title,review_text,sentiment_score,primary_aspect,is_verified_purchase
R50001,P1001,Safari,4,Safari review 1,The price feels justified because the suitcase looks better than expected.,0.394,material,yes
R50002,P1001,Safari,4,Safari review 2,It feels lightweight and easy to carry through stations and airports.,0.461,design,no
R50003,P1001,Safari,5,Safari review 3,The price feels justified because the suitcase looks better than expected.,0.767,material,yes
R50004,P1001,Safari,3,Safari review 4,"Capacity is good for a short family trip and the layout is practical. However, the zipper feels stiff near the corners and needs careful handling.",-0.106,durability,yes
R50005,P1001,Safari,3,Safari review 5,"Capacity is good for a short family trip and the layout is practical. However, the zipper feels stiff near the corners and needs careful handling.",-0.145,durability,yes
R50006,P1001,Safari,3,Safari review 6,The zipper feels stiff near the corners and needs careful handling.,-0.074,material,yes
R50007,P1002,Safari,4,Safari review 1,The price feels justified because the suitcase looks better than expected.,0.486,wheels,yes
R50008,P1002,Safari,4,Safari review 2,It feels lightweight and easy to carry through stations and airports.,0.424,size,yes
R50009,P1002,Safari,5,Safari review 3,Capacity is good for a short family trip and the layout is practical.,0.734,value,yes
R50010,P1002,Safari,3,Safari review 4,"It feels lightweight and easy to carry through stations and airports. However, the body picks up scuff marks after one trip.",-0.134,handle,yes
R50011,P1002,Safari,4,Safari review 5,"The price feels justified because the suitcase looks better than expected. However, the body picks up scuff marks after one trip.",0.177,zipper,no
R50012,P1002,Safari,2,Safari review 6,The handle wobbles slightly when the suitcase is heavy.,-0.526,zipper,yes
R50013,P1003,Safari,5,Safari review 1,The wheels move smoothly even when the bag is fully packed.,0.739,design,yes
R50014,P1003,Safari,5,Safari review 2,Capacity is good for a short family trip and the layout is practical.,0.844,size,yes
R50015,P1003,Safari,5,Safari review 3,The price feels justified because the suitcase looks better than expected.,0.715,size,no
R50016,P1003,Safari,3,Safari review 4,"It feels lightweight and easy to carry through stations and airports. However, the zipper feels stiff near the corners and needs careful handling.",-0.065,durability,yes
R50017,P1003,Safari,4,Safari review 5,"The wheels move smoothly even when the bag is fully packed. However, the body picks up scuff marks after one trip.",0.249,zipper,yes
R50018,P1003,Safari,2,Safari review 6,The body picks up scuff marks after one trip.,-0.513,zipper,yes
R50019,P1004,Safari,4,Safari review 1,The price feels justified because the suitcase looks better than expected.,0.515,value,yes
R50020,P1004,Safari,5,Safari review 2,The price feels justified because the suitcase looks better than expected.,0.786,design,yes
R50021,P1004,Safari,5,Safari review 3,It feels lightweight and easy to carry through stations and airports.,0.703,size,yes
R50022,P1004,Safari,3,Safari review 4,"Capacity is good for a short family trip and the layout is practical. However, the zipper feels stiff near the corners and needs careful handling.",-0.02,handle,yes
R50023,P1004,Safari,4,Safari review 5,"It feels lightweight and easy to carry through stations and airports. However, the body picks up scuff marks after one trip.",0.296,zipper,yes
R50024,P1004,Safari,3,Safari review 6,The zipper feels stiff near the corners and needs careful handling.,-0.009,material,yes
