product_id,brand,title,category,size,selling_price_inr,list_price_inr,discount_pct,rating,review_count,amazon_url
P1001,Safari,Safari Cruise Cabin Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Cabin 55 cm,3149,6749,53,4.1,2038,https://www.amazon.in/dp/P1001
P1002,Safari,Safari Neo Medium Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Medium 65 cm,2799,4349,35,4.0,3172,https://www.amazon.in/dp/P1002
P1003,Safari,Safari Rover Large Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Large 75 cm,3549,6249,43,4.3,3451,https://www.amazon.in/dp/P1003
P1004,Safari,Safari Edge Cabin Soft luggage with TSA Lock and 8 Wheels,Soft luggage,Cabin 55 cm,2199,4099,46,3.8,4310,https://www.amazon.in/dp/P1004
P1005,Safari,Safari Metro Medium Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Medium 65 cm,2999,4499,33,3.8,4627,https://www.amazon.in/dp/P1005
P1006,Safari,Safari Cruise Large Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Large 75 cm,2849,4849,41,4.2,653,https://www.amazon.in/dp/P1006
P1007,Safari,Safari Neo Cabin Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Cabin 55 cm,3399,5699,40,4.2,4762,https://www.amazon.in/dp/P1007
P1008,Safari,Safari Rover Medium Soft luggage with TSA Lock and 8 Wheels,Soft luggage,Medium 65 cm,3199,5949,46,4.2,804,https://www.amazon.in/dp/P1008
P1009,Safari,Safari Edge Large Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Large 75 cm,2599,3849,32,4.1,626,https://www.amazon.in/dp/P1009
P1010,Safari,Safari Metro Cabin Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Cabin 55 cm,3049,7849,61,3.8,1476,https://www.amazon.in/dp/P1010
P1011,Skybags,Skybags Cruise Cabin Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Cabin 55 cm,4449,8749,49,4.6,2384,https://www.amazon.in/dp/P1011
P1012,Skybags,Skybags Neo Medium Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Medium 65 cm,3899,5849,33,4.4,1635,https://www.amazon.in/dp/P1012
P1013,Skybags,Skybags Rover Large Soft luggage with TSA Lock and 8 Wheels,Soft luggage,Large 75 cm,3399,6549,48,4.4,1083,https://www.amazon.in/dp/P1013
P1014,Skybags,Skybags Edge Cabin Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Cabin 55 cm,2949,5199,43,4.5,1962,https://www.amazon.in/dp/P1014
P1015,Skybags,Skybags Metro Medium Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Medium 65 cm,3899,7499,48,4.3,3992,https://www.amazon.in/dp/P1015
P1016,Skybags,Skybags Cruise Large Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Large 75 cm,3799,6449,41,4.1,1551,https://www.amazon.in/dp/P1016
P1017,Skybags,Skybags Neo Cabin Soft luggage with TSA Lock and 8 Wheels,Soft luggage,Cabin 55 cm,3999,7549,47,4.2,4618,https://www.amazon.in/dp/P1017
P1018,Skybags,Skybags Rover Medium Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Medium 65 cm,4149,7699,46,4.3,2203,https://www.amazon.in/dp/P1018
P1019,Skybags,Skybags Edge Large Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Large 75 cm,3699,6199,40,4.1,4231,https://www.amazon.in/dp/P1019
P1020,Skybags,Skybags Metro Cabin Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Cabin 55 cm,4399,7749,43,4.3,875,https://www.amazon.in/dp/P1020
P1021,American Tourister,American Tourister Cruise Cabin Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Cabin 55 cm,6099,8149,25,4.3,868,https://www.amazon.in/dp/P1021
P1022,American Tourister,American Tourister Neo Medium Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Medium 65 cm,4849,7049,31,4.4,3521,https://www.amazon.in/dp/P1022
P1023,American Tourister,American Tourister Rover Large Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Large 75 cm,5799,9549,39,4.3,4725,https://www.amazon.in/dp/P1023
P1024,American Tourister,American Tourister Edge Cabin Soft luggage with TSA Lock and 8 Wheels,Soft luggage,Cabin 55 cm,5999,7349,18,4.6,1456,https://www.amazon.in/dp/P1024
P1025,American Tourister,American Tourister Metro Medium Cabin suitcase with TSA Lock and 8 Wheels,Cabin suitcase,Medium 65 cm,5299,8699,39,4.2,2663,https://www.amazon.in/dp/P1025
P1026,American Tourister,American Tourister Cruise Large Check-in suitcase with TSA Lock and 8 Wheels,Check-in suitcase,Large 75 cm,6149,8949,31,4.1,2684,https://www.amazon.in/dp/P1026
P1027,American Tourister,American Tourister Neo Cabin Hard luggage with TSA Lock and 8 Wheels,Hard luggage,Cabin 55 cm,4749,7549,37,4.6,3207,https://www.amazon.in/dp/P1027
